node,community
CG14641,6
MKG-P,6
CG10663,12
PAX,0
CKIIALPHA-I3,6
MED27,19
CG5001,17
DMT,17
CG12519,6
CG14282,6
RDGA,5
CP38,0
EXP6,6
VM32E,17
EBI-96930,11
CG6770,19
SEMA-2A,17
EBI-188413,0
RNRS,6
CG14110,27
L(1)G0020,33
OBP99D,6
GT,6
CG18619,6
COMR,2
CG3281,6
CG13558,2
RHOGAP68F,2
EBI-97544,2
CG17181,1
E(SPL),23
HLHM7,23
AKAP200,28
CG31958,28
EBI-138516,11
EBI-150616,19
N,22
APC2,3
CG14815,0
EBI-131770,0
EBI-84026,2
CG6353,6
DNAJ-1,0
CG4116,5
GRO,23
CG6073,0
PKA-R2,3
BR,19
CG31740,19
CG15754,34
MRPL35,34
RANGAP,28
OVO,28
UNC-13-4A,2
ABL,2
312,6
EBI-184213,21
CACTIN,6
RAD23,6
CG4165,22
MRPS30,6
CG13476,6
RAC2,3
MBO,6
RHO,22
SPF45,7
PIX,17
TUP,6
MLC2,4
HBN,19
EBI-84827,17
EBI-153383,8
EBI-213425,7
CG8191,3
CG17364,3
CG7949,5
AATS-ASN,6
FUCTC,3
HLHMGAMMA,23
EBI-177649,0
CG13066,0
SIRT2,2
TAF2,24
TAF11,12
CG3198,12
INAC,24
EBI-105703,6
CG16717,4
CG11652,2
CG11350,0
CG4681,19
CG6441,19
TAP42,17
EBI-83005,0
AATS-SER,24
CG2091,19
EBI-149983,19
GRAU,6
CG10267,7
CG7135,15
CG32392,15
CATSUP,22
CG15141,6
CG17446,6
DIA,22
EBI-88589,28
ACT5C,0
CG10635,19
SIP3,6
CG11581,0
GAPDH2,0
EBI-118172,28
TH1,2
CG12679,19
PST,0
COVA,0
RPL9,11
CG6904,24
CG9411,0
FKH,19
MST84DC,19
L(1)G0196,17
MESK2,0
GROWL,0
SCYL,8
EBI-91014,2
RPS24,19
UNC-119,0
CG6192,0
ZEN,6
CG9312,19
EBI-206656,6
CPR67FA2,6
CG12182,22
CKIIBETA,6
CG11820,0
CG12723,2
PMS2,17
TRX,15
L(2)K09022,2
EBI-285563,35
CG14540,6
CG16899,10
EXD,3
CG6454,3
CG5783,2
CG31036,6
CG7371,6
MBT,2
EBI-170508,27
CG6244,2
KHC,28
UNC-76,28
CG8831,0
CG1681,11
SPX,0
CG3605,0
RAD51D,17
CG13917,4
CPR76BB,29
SC2,6
RPS15AA,19
DCO,3
GLYCOGENIN,11
CG9934,11
A6,28
CG3032,6
MIRA,21
BAZ,21
CG14967,17
IK2,6
NUCB1,2
CPR64AA,2
CG7188,19
OSI8,27
CG6619,19
MST84DA,19
EBI-174207,6
CG10508,6
CG17377,19
DAP160,19
CG14931,6
KRZ,6
EBI-176411,4
CG4960,6
SOX21B,19
CG31140,19
RPA2,2
CG13090,6
EBI-87760,0
CG4656,15
EBI-210979,6
CG2219,6
CG12661,6
SH,21
FTZ-F1,27
TANGO2,7
TBP,12
CG13362,0
OATP30B,36
CG3652,36
CG12496,6
CG2843,5
REP4,6
CG16947,15
CG12725,6
RPS23,6
CG15778,0
TRIM9,19
CPR97EB,0
EBI-103820,0
EBI-466537,2
WEK,6
CG18766,8
CG8116,6
BOWL,2
PNG,2
CG11247,4
CG10300,4
RPN12,7
CG6617,6
COS,17
TEPIII,17
EBI-181728,6
CG7375,6
CG18745,2
CG13124,6
CBT,0
CG13698,27
CG10298,15
REC,15
EBI-130802,6
EPSIN-LIKE,22
CG8507,5
EBI-193598,0
TUD,2
CG34401,19
CG4080,0
CG12766,7
SER7,7
CG30417,3
AMOS,17
APT,6
CG15436,6
CG5732,4
PROS54,7
EBI-194737,17
LYSB,3
CG5681,28
ARF72A,8
CG7470,19
CG8934,19
DA,23
RHOBTB,6
CG30263,19
CG12811,0
CG10971,0
CG15753,0
EBI-111644,3
RPL13,6
RPL39,5
EBI-151216,19
CG11409,1
SPICT,1
VHA100-2,19
EBI-113877,12
CG6800,2
PP1-13C,15
MARS,15
BM-40-SPARC,19
CG13045,0
ACT87E,0
A16,15
CV-C,19
EBI-119012,8
ESG,6
CG8851,6
SEC23,32
EBI-196425,19
CG32711,19
CG7628,12
SLMB,17
ACCOAS,17
EIF-4B,27
EBI-172044,11
CG2097,11
SU(FU),7
CG11148,24
