node,community
SIRT2,3
TAF2,3
TAF11,16
CG3198,7
INAC,19
EBI-105703,8
CG16717,9
CG11652,3
CG11350,3
CG4681,6
CG6441,6
TAP42,13
EBI-83005,14
AATS-SER,14
CG2091,1
EBI-149983,1
GRAU,8
CG10267,6
CG7135,7
CG32392,7
CATSUP,6
CG15141,6
CG17446,8
DIA,19
EBI-88589,1
ACT5C,1
CG10635,6
SIP3,8
CG11581,1
GAPDH2,1
EBI-118172,14
TH1,3
CG12679,6
PST,1
COVA,15
RPL9,15
CG6904,9
CG9411,1
FKH,6
MST84DC,6
L(1)G0196,13
MESK2,17
GROWL,16
SCYL,12
EBI-91014,3
RPS24,6
UNC-119,1
CG6192,1
ZEN,8
CG9312,6
EBI-206656,8
CPR67FA2,8
CG12182,3
CKIIBETA,8
CG11820,16
CG12723,3
PMS2,13
TRX,20
L(2)K09022,3
CG14540,8
CG16899,8
EXD,8
CG6454,8
CG5783,3
CG31036,8
CG7371,8
MBT,3
EBI-170508,12
CG6244,3
KHC,2
UNC-76,2
CG8831,1
CG1681,6
SPX,1
CG3605,3
RAD51D,13
CG13917,13
CPR76BB,18
SC2,8
RPS15AA,6
DCO,13
GLYCOGENIN,0
CG9934,0
A6,14
CG3032,6
MIRA,0
BAZ,0
CG14967,13
IK2,8
NUCB1,3
CPR64AA,3
CG7188,6
OSI8,19
CG6619,6
MST84DA,6
EBI-174207,8
CG10508,8
CG17377,6
DAP160,6
CG14931,8
KRZ,8
EBI-176411,22
CG4960,8
SOX21B,3
CG31140,6
RPA2,3
CG13090,8
EBI-87760,1
CG4656,20
EBI-210979,8
CG2219,1
CG12661,6
SH,22
FTZ-F1,19
TANGO2,14
TBP,16
CG13362,0
CG12496,8
CG2843,7
REP4,8
CG16947,20
CG12725,8
RPS23,8
CG15778,1
TRIM9,6
CPR97EB,1
EBI-103820,1
EBI-466537,3
WEK,8
CG18766,2
CG8116,8
BOWL,3
PNG,3
CG11247,4
CG10300,4
RPN12,9
CG6617,8
COS,13
TEPIII,13
EBI-181728,8
CG7375,8
CG18745,3
CG13124,8
CBT,1
CG13698,19
CG10298,8
REC,8
EBI-130802,8
EPSIN-LIKE,8
CG8507,7
EBI-193598,1
TUD,3
CG34401,6
CG4080,21
CG12766,23
SER7,9
CG30417,13
AMOS,13
APT,9
CG15436,8
CG5732,2
PROS54,9
EBI-194737,13
LYSB,19
CG5681,15
ARF72A,8
CG7470,6
CG8934,6
DA,18
RHOBTB,6
CG30263,6
CG12811,13
CG10971,1
CG15753,1
EBI-111644,19
RPL13,8
RPL39,7
EBI-151216,6
CG11409,2
SPICT,2
VHA100-2,6
EBI-113877,8
CG6800,3
PP1-13C,20
MARS,20
BM-40-SPARC,6
